Timestamp,Category,Severity,Details
"2026-05-10 08:28:04","File Created","LOW","oracle.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","mysql.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","mssql.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","misc.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","md5_crypt.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","ldap_digests.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","fshp.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","django.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","digests.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","des_crypt.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","cisco.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","bcrypt.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","argon2.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","__init__.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","__init__.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","_md4.py in Desktop"
"2026-05-10 08:28:04","File Created","LOW","digest.py in Desktop"
"2026-05-10 08:28:03","File Created","LOW","des.py in Desktop"
"2026-05-10 08:28:03","File Created","LOW","__init__.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","status_codes.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","spinners.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","req_command.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","progress_bars.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","parser.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","main_parser.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","main.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","index_command.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","command_context.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","cmdoptions.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","base_command.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","autocompletion.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","__init__.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","wheel.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","uninstall.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","show.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","search.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","lock.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","list.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","install.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","inspect.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","index.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","help.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","hash.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","freeze.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","download.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","debug.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","configuration.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","completion.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","check.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","cache.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","__init__.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","wheel.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","sdist.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","installed.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","base.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","__init__.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","sources.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","package_finder.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","collector.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","__init__.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","_sysconfig.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","_distutils.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","base.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","__init__.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","_envs.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","_dists.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","_compat.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","__init__.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","_json.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","pkg_resources.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","base.cpython-314.pyc in Desktop"
"2026-05-10 08:28:03","File Created","LOW","__init__.py in Desktop"
"2026-05-10 08:28:03","File Created","LOW","_envs.py in Desktop"
